Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL
HEDVIG	489
IRINA	486
SAMIRA	486
AMAL	484
AIDA	482
ANIKA	482
CÆCILIE	482
ALIS	481
MINA	481
LEAH	475
MELISA	475
MICHELE	475
ZAINAB	475
KARI	474
JOY	469
CHRISTIANE	467
KAROLINA	467
GRETA	465
NELLY	465
OLINE	464
MAY	461
METHA	461
CRISTINA	460
ANNA-MARIE	455
CORNELIA	448
KIMMIE	446
WINNI	443
ANGELA	442
ANITTA	442
SASHA	432
ANNE-GRETE	431
GUNVOR	430
JUDY	430
CARMEN	427
TEA	426
TATIANA	425
FLORA	423
EVELYN	421
ELINOR	420
REGINA	420
ANGELINA	418
AMY	417
LOUISA	416
GYDA	413
LUCIA	412
MIMI	412
HARRIET	411
BIRTHA	410
IDA-MARIE	410
LISS	409
JOHNNA	407
DEA	403
ELVA	403
JASMINA	403
EMMELIE	402
GUNVER	398
AMIRA	393
BJØRG	393
TERESE	391
MARGOT	387
WILMA	387
CAROLINA	384
VEGA	384
MY	381
BEATE	380
NADINE	379
MAIBRIT	376
ELINA	373
JANET	372
JEANNIE	372
CINDY	370
RUNA	370
MYRNA	368
PUK	368
SILVIA	366
KATINKA	365
MAY-BRITT	364
SALMA	364
MADELEINE	363
ANINE	361
RITTA	361
LIZA	358
CASSANDRA	357
SUSANNA	357
BRIGITTE	356
ANNE-DORTHE	355
ANNE-SOPHIE	354
KIM	351
AZRA	349
ULRIKKE	349
MANJA	348
IRENA	347
BEATA	345
BERTHA	345
FANNY	344
KERSTIN	344
KITTY	344
BERITH	342
MIKALA	342
KRISTIN	339
SIV	339
KATRIN	336
CECILLIE	333
PAULINA	333
SYLVIA	333
BJØRK	332
MARIANNA	332
MAYBRITT	332
NADA	331
NAOMI	331
THYRA	331
MARIT	330
ELZBIETA	329
HANAN	329
SUZAN	327
SACHA	326
SIFF	325
LEJLA	324
MALIKA	324
IZABELLA	323
ELIF	322
ANNEGRETHE	320
LONA	320
NINI	320
SVETLANA	320
ANASTASIA	319
KÄTHE	318
CATHERINE	317
CHALOTTE	317
DIANNA	316
GRITH	316
GABRIELA	315
MERYEM	315
ALICIA	314
GINA	312
SAHRA	312
RACHEL	311
BELLA	310
ELKE	307
LOLA	307
DANIELLE	306
KITT	306
SIA	306
SONIA	304
TINNE	304
VERONIKA	304
NELLIE	303
LONNY	302
BIRGITTA	301
LEYLA	301
ALLIS	300
JENNIE	300
MARNA	299
NEEL	298
ISABELLE	297
DEBBIE	296
SAMANTHA	296
VALENTINA	296
MARGARET	295
ILONA	293
DANA	291
ELSEBET	291
EMINA	290
JEAN	290
LISSA	290
HELLA	289
YASEMIN	288
MALAK	287
JOLANTA	286
SIMONA	286
AMELIA	285
MICHELA	285
CHILI	284
RABIA	284
KHADIJA	281
ESTRID	279
KRISTIANE	279
ANNABELL	278
RENATA	278
GITTA	275
BETH	274
INGE-MARIE	274
NANNY	274
SANNA	274
CLAIRE	273
FADIME	273
SASJA	273
AJA	269
CHANETTE	268
MERVE	268
MILA	268
TONE	268
ANN-MARIE	267
DOROTA	266
JANA	264
PIL	264
ROSEMARIE	264
ESRA	263
RENATE	262
LENI	261
CELIA	258
EDNA	258
GUNNA	258
MITZI	258
SAHAR	258
SANNI	257
ANN-BRITT	256
ANNESOFIE	256
MARIKA	256
ZOE	256
ISA	255
GRO	254
KAREN-MARGRETHE	254
PHILIPPA	253
LINN	252
ANNE-DORTE	251
ANNE-LOUISE	249
TONI	249
ALVA	248
NOVA	248
TAMARA	248
HANA	247
SULTAN	246
GITHA	245
KIS	245
KRYSTYNA	245
RINA	245
ADRIANA	244
LILJE	244
MYNTE	244
SANA	244
ERICA	243
DAISY	242
JAMILA	242
MILENA	242
MIRJAM	241
NOOR	241
STINNA	241
TATJANA	241
ZARA	241
BENDE	240
ZEINAB	240
GRACE	239
JANIE	238
NINETTE	238
ANGELIKA	237
CIRKELINE	236
GISELA	236
MAISE	236
MARGITH	235
SIW	235
ADA	233
INGE-MERETE	233
VICKIE	233
ANNEGRETE	232
JELENA	232
MEDINA	232
INGER-MARIE	231
TESSA	231
IWONA	230
NOUR	228
ANNE-KATRINE	227
OLENA	227
ANN-LOUISE	226
JENNI	226
WIVI	226
IRYNA	225
KIKI	223
HERTHA	222
MARIANA	222
