Efternavne pr. 1. januar 2014

Navn	ANTAL
VALENTIN	798
WARMING	798
SLOT	794
GEERTSEN	791
WORM	790
SAHIN	789
MÅNSSON	786
RAUN	786
VIND	781
LYNGGAARD	779
MATZEN	776
ELGAARD	774
GOTFREDSEN	774
KROMANN	774
BITSCH	772
RØNNE	772
OSMAN	771
LINDSTRØM	769
KASPERSEN	768
NEUMANN	767
SEJERSEN	766
HARDER	765
LANG	763
HOVE	761
MOURITZEN	759
PAGH	759
HAVE	756
GULDAGER	755
DYHR	754
BORK	753
PLOUG	751
KASTRUP	750
KJÆRULFF	747
STEENBERG	747
SALOMONSEN	744
PETERSSON	743
CHEN	742
EGHOLM	741
MUNKHOLM	741
ROSSEN	740
ØRUM	739
ABDI	736
STEPHANSEN	734
FEDDERSEN	732
HENDRIKSEN	731
BÆKGAARD	728
STAAL	728
BEYER	726
LADEGAARD	725
ENEMARK	724
DREYER	723
HEDE	723
LAUSEN	722
FALKENBERG	721
BRØGGER	720
FLINDT	720
SIVERTSEN	719
CRAMER	718
RISAGER	718
HINRICHSEN	716
LINDGAARD	714
STRAND	714
KLEIN	711
SCHULZ	710
SØNDERBY	710
VANGSGAARD	710
JOCHUMSEN	707
BJERRING	703
KOLD	701
LI	701
HORN	700
KURE	700
STÆHR	699
REFSGAARD	698
STEENSEN	697
ESKESEN	695
ESBENSEN	694
ESPENSEN	694
STAMPE	694
ANDERSON	690
HØEGH	690
LYHNE	690
MOSE	687
KANSTRUP	686
KLEMMENSEN	685
BØRGESEN	683
FUNCH	681
KJØLLER	681
AAEN	679
POST	679
GRØNNING	678
GOTTLIEB	677
ALSTRUP	675
DELEURAN	675
IQBAL	674
AARUP	671
SCHACK	669
BOSSEN	666
DØSSING	666
FOG	665
HØJER	665
ENGEL	663
SKAANING	662
LILLELUND	661
GERTSEN	659
MOHAMAD	659
SØBY	659
BROBERG	658
MELGAARD	658
CONRADSEN	655
HØEG	655
DAHLGAARD	654
LYNGSØ	654
VINDING	651
EHLERS	649
HJORTSHØJ	647
LINNET	645
HONORÉ	644
MARKER	644
HARBOE	643
HOLGERSEN	643
VENDELBO	643
LYKKEGAARD	642
MALLING	642
NOER	642
MUNCK	641
HØY	640
PAASKE	640
DUEHOLM	636
KAAE	636
LAUSTEN	636
VISTISEN	636
LOHMANN	634
BENGTSEN	633
LOHSE	633
MOESGAARD	632
AGERSKOV	631
KUSK	631
SERUP	631
FENGER	630
GRØNBÆK	629
TRANBERG	629
WOLF	628
BENGTSON	627
EGEBERG	627
KORSHOLM	626
NØRBY	625
RIBER	625
DEMIR	622
DOGAN	622
LAU	621
MOHR	621
BRUN	620
ZACHO	620
BLAABJERG	619
YILDIZ	616
HØST	614
HALKJÆR	608
ISMAIL	608
MARCHER	608
OMAR	608
AGGER	607
BOEL	607
FABER	606
HARTVIG	606
HAMANN	604
KOLDING	604
CARSTENS	603
JUEL	603
BUGGE	602
FINK	602
SØE	600
ZACHARIASSEN	599
WITT	598
HARBO	596
NYMANN	596
FARAH	595
LANGHOFF	594
